,comment,rating,sentimen,cleaned_comment,case_folding,text_tokens,text_stopword
126,I can't register or create a TikTok account... I've also tried using a VPN. It still doesn't work... What should I do? Should I delete the app or can TikTok help me?,1,-1,IcantregisterorcreateaTikTokaccountIvealsotriedusingaVPNItstilldoesntworkWhatshouldIdoShouldIdeletetheapporcanTikTokhelpme,icantregisterorcreateatiktokaccountivealsotriedusingavpnitstilldoesntworkwhatshouldidoshouldideletetheapporcantiktokhelpme,['icantregisterorcreateatiktokaccountivealsotriedusingavpnitstilldoesntworkwhatshouldidoshouldideletetheapporcantiktokhelpme'],['icantregisterorcreateatiktokaccountivealsotriedusingavpnitstilldoesntworkwhatshouldidoshouldideletetheapporcantiktokhelpme']
127,Buka aplikaainya lama Bikin hp lemottttttt,2,-1,BukaaplikaainyalamaBikinhplemottttttt,bukaaplikaainyalamabikinhplemottttttt,['bukaaplikaainyalamabikinhplemottttttt'],['bukaaplikaainyalamabikinhplemottttttt']
128,Ok,5,1,Ok,ok,['ok'],[]
129,feto mesak,5,1,fetomesak,fetomesak,['fetomesak'],['fetomesak']
130,Kamat Metan,5,1,KamatMetan,kamatmetan,['kamatmetan'],['kamatmetan']
131,It's good for me because I can chat with friends and also make good videos. Yes of course I enjoy playing this 😊,5,1,ItsgoodformebecauseIcanchatwithfriendsandalsomakegoodvideosYesofcourseIenjoyplayingthis,itsgoodformebecauseicanchatwithfriendsandalsomakegoodvideosyesofcourseienjoyplayingthis,['itsgoodformebecauseicanchatwithfriendsandalsomakegoodvideosyesofcourseienjoyplayingthis'],['itsgoodformebecauseicanchatwithfriendsandalsomakegoodvideosyesofcourseienjoyplayingthis']
132,Slow,5,1,Slow,slow,['slow'],['slow']
133,apa ini yang bisa kita menghibur dan,5,1,apainiyangbisakitamenghiburdan,apainiyangbisakitamenghiburdan,['apainiyangbisakitamenghiburdan'],['apainiyangbisakitamenghiburdan']
134,Terima kasih,5,1,Terimakasih,terimakasih,['terimakasih'],['terimakasih']
135,Jelek,1,-1,Jelek,jelek,['jelek'],['jelek']
136,Luar biasa,5,1,Luarbiasa,luarbiasa,['luarbiasa'],['luarbiasa']
137,Ok,5,1,Ok,ok,['ok'],[]
138,🥰,2,-1,,,[],[]
139,"saya sangat suka dengan aplikasi ini, sangat memuaskan kan bagi setiap orang yg menggunakan aplikasi tersebut.",5,1,sayasangatsukadenganaplikasiinisangatmemuaskankanbagisetiaporangygmenggunakanaplikasitersebut,sayasangatsukadenganaplikasiinisangatmemuaskankanbagisetiaporangygmenggunakanaplikasitersebut,['sayasangatsukadenganaplikasiinisangatmemuaskankanbagisetiaporangygmenggunakanaplikasitersebut'],['sayasangatsukadenganaplikasiinisangatmemuaskankanbagisetiaporangygmenggunakanaplikasitersebut']
140,"Apinya bikin hp ku lemot dari sinyal sampai apk yg lain,lebih baik apk yg dulu lebih bagus dan selalu ada Kata tindak ada tanggapan",2,-1,ApinyabikinhpkulemotdarisinyalsampaiapkyglainlebihbaikapkygdululebihbagusdanselaluadaKatatindakadatanggapan,apinyabikinhpkulemotdarisinyalsampaiapkyglainlebihbaikapkygdululebihbagusdanselaluadakatatindakadatanggapan,['apinyabikinhpkulemotdarisinyalsampaiapkyglainlebihbaikapkygdululebihbagusdanselaluadakatatindakadatanggapan'],['apinyabikinhpkulemotdarisinyalsampaiapkyglainlebihbaikapkygdululebihbagusdanselaluadakatatindakadatanggapan']
141,Bagus,5,1,Bagus,bagus,['bagus'],['bagus']
142,manaaa fitur live photo untuk androidnyaaaaaa,4,1,manaaafiturlivephotountukandroidnyaaaaaa,manaaafiturlivephotountukandroidnyaaaaaa,['manaaafiturlivephotountukandroidnyaaaaaa'],['manaaafiturlivephotountukandroidnyaaaaaa']
143,Aplikasi ini memang sangat bagus tapi tolong perbaiki lah sedikit karena kalo aku cari vidio lain malah munculnya cwek gojet²,5,1,Aplikasiinimemangsangatbagustapitolongperbaikilahsedikitkarenakaloakucarividiolainmalahmunculnyacwekgojet,aplikasiinimemangsangatbagustapitolongperbaikilahsedikitkarenakaloakucarividiolainmalahmunculnyacwekgojet,['aplikasiinimemangsangatbagustapitolongperbaikilahsedikitkarenakaloakucarividiolainmalahmunculnyacwekgojet'],['aplikasiinimemangsangatbagustapitolongperbaikilahsedikitkarenakaloakucarividiolainmalahmunculnyacwekgojet']
144,Sungu saia sangat menukai Tiktok Karena kita bisa menonton dan kita bisa juga bisa menbantu Tiktok kita sendiri.,5,1,SungusaiasangatmenukaiTiktokKarenakitabisamenontondankitabisajugabisamenbantuTiktokkitasendiri,sungusaiasangatmenukaitiktokkarenakitabisamenontondankitabisajugabisamenbantutiktokkitasendiri,['sungusaiasangatmenukaitiktokkarenakitabisamenontondankitabisajugabisamenbantutiktokkitasendiri'],['sungusaiasangatmenukaitiktokkarenakitabisamenontondankitabisajugabisamenbantutiktokkitasendiri']
145,Sangat bagus tiktok ini,4,1,Sangatbagustiktokini,sangatbagustiktokini,['sangatbagustiktokini'],['sangatbagustiktokini']
146,good,4,1,good,good,['good'],['good']
147,OK,5,1,OK,ok,['ok'],[]
148,Terbaik,1,-1,Terbaik,terbaik,['terbaik'],['terbaik']
149,Good,5,1,Good,good,['good'],['good']
150,Sangat nyaman,5,1,Sangatnyaman,sangatnyaman,['sangatnyaman'],['sangatnyaman']
151,Baguss suka,5,1,Bagusssuka,bagusssuka,['bagusssuka'],['bagusssuka']
152,Bayak teman,5,1,Bayakteman,bayakteman,['bayakteman'],['bayakteman']
153,Ini bagus,5,1,Inibagus,inibagus,['inibagus'],['inibagus']
154,menginstal nya lama.,1,-1,menginstalnyalama,menginstalnyalama,['menginstalnyalama'],['menginstalnyalama']
155,"Sangat menghibur, tpi sayang tdak bisa mendapatkan cuan",5,1,Sangatmenghiburtpisayangtdakbisamendapatkancuan,sangatmenghiburtpisayangtdakbisamendapatkancuan,['sangatmenghiburtpisayangtdakbisamendapatkancuan'],['sangatmenghiburtpisayangtdakbisamendapatkancuan']
156,Bagus banget,5,1,Bagusbanget,bagusbanget,['bagusbanget'],['bagusbanget']
157,Siap boss,5,1,Siapboss,siapboss,['siapboss'],['siapboss']
158,Bagus,5,1,Bagus,bagus,['bagus'],['bagus']
159,Dubling update tiktok,1,-1,Dublingupdatetiktok,dublingupdatetiktok,['dublingupdatetiktok'],['dublingupdatetiktok']
160,Dayah sukaa tiktok,1,-1,Dayahsukaatiktok,dayahsukaatiktok,['dayahsukaatiktok'],['dayahsukaatiktok']
161,Saya suka sekali dengan Aplikasi ini krna sangat menghibur💗,5,1,SayasukasekalidenganAplikasiinikrnasangatmenghibur,sayasukasekalidenganaplikasiinikrnasangatmenghibur,['sayasukasekalidenganaplikasiinikrnasangatmenghibur'],['sayasukasekalidenganaplikasiinikrnasangatmenghibur']
162,Amiin.,5,1,Amiin,amiin,['amiin'],['amiin']
163,'Jabbar Ali,5,1,JabbarAli,jabbarali,['jabbarali'],['jabbarali']
164,Sangat membantu,5,1,Sangatmembantu,sangatmembantu,['sangatmembantu'],['sangatmembantu']
165,Benansyu,2,-1,Benansyu,benansyu,['benansyu'],['benansyu']
166,Bagus👍🏼👍🏼👍🏼,5,1,Bagus,bagus,['bagus'],['bagus']
167,Good,5,1,Good,good,['good'],['good']
168,Ok,5,1,Ok,ok,['ok'],[]
169,Puas pokok nya.klw setiap upload video dibayar bahagia rasanya...,5,1,Puaspokoknyaklwsetiapuploadvideodibayarbahagiarasanya,puaspokoknyaklwsetiapuploadvideodibayarbahagiarasanya,['puaspokoknyaklwsetiapuploadvideodibayarbahagiarasanya'],['puaspokoknyaklwsetiapuploadvideodibayarbahagiarasanya']
170,Jelek harus intas terus,1,-1,Jelekharusintasterus,jelekharusintasterus,['jelekharusintasterus'],['jelekharusintasterus']
171,Bagus nemen,5,1,Bagusnemen,bagusnemen,['bagusnemen'],['bagusnemen']
172,Sangat menbantu,5,1,Sangatmenbantu,sangatmenbantu,['sangatmenbantu'],['sangatmenbantu']
173,B.,5,1,B,b,['b'],['b']
174,TikTok memang bisa menghiburku,5,1,TikTokmemangbisamenghiburku,tiktokmemangbisamenghiburku,['tiktokmemangbisamenghiburku'],['tiktokmemangbisamenghiburku']
175,bagus,5,1,bagus,bagus,['bagus'],['bagus']
176,Tiktok makin kesini makin kesana bikin kesal aplikasinya sekarang,1,-1,Tiktokmakinkesinimakinkesanabikinkesalaplikasinyasekarang,tiktokmakinkesinimakinkesanabikinkesalaplikasinyasekarang,['tiktokmakinkesinimakinkesanabikinkesalaplikasinyasekarang'],['tiktokmakinkesinimakinkesanabikinkesalaplikasinyasekarang']
177,Sangat bagus,5,1,Sangatbagus,sangatbagus,['sangatbagus'],['sangatbagus']
178,Good,5,1,Good,good,['good'],['good']
179,Saya sangat senang dengan aplikasi ini 🤭🤭,5,1,Sayasangatsenangdenganaplikasiini,sayasangatsenangdenganaplikasiini,['sayasangatsenangdenganaplikasiini'],['sayasangatsenangdenganaplikasiini']
180,tik tok,2,-1,tiktok,tiktok,['tiktok'],['tiktok']
181,Tidak punya,5,1,Tidakpunya,tidakpunya,['tidakpunya'],['tidakpunya']
182,Bagus dan vidio lucu,5,1,Bagusdanvidiolucu,bagusdanvidiolucu,['bagusdanvidiolucu'],['bagusdanvidiolucu']
183,Bagus,5,1,Bagus,bagus,['bagus'],['bagus']
184,Bagus,1,-1,Bagus,bagus,['bagus'],['bagus']
185,Kerja tukan las dan mikanik mesin,5,1,Kerjatukanlasdanmikanikmesin,kerjatukanlasdanmikanikmesin,['kerjatukanlasdanmikanikmesin'],['kerjatukanlasdanmikanikmesin']
186,Tidak relawan,5,1,Tidakrelawan,tidakrelawan,['tidakrelawan'],['tidakrelawan']
187,Sangat memuaskan,4,1,Sangatmemuaskan,sangatmemuaskan,['sangatmemuaskan'],['sangatmemuaskan']
188,Bagus aplikasinya,5,1,Bagusaplikasinya,bagusaplikasinya,['bagusaplikasinya'],['bagusaplikasinya']
189,What Vario,5,1,WhatVario,whatvario,['whatvario'],['whatvario']
190,Bisa komen foto🗿,5,1,Bisakomenfoto,bisakomenfoto,['bisakomenfoto'],['bisakomenfoto']
191,Seru poll,5,1,Serupoll,serupoll,['serupoll'],['serupoll']
192,Sangat bagus,5,1,Sangatbagus,sangatbagus,['sangatbagus'],['sangatbagus']
193,Tiktok jaringan tidak stabil,1,-1,Tiktokjaringantidakstabil,tiktokjaringantidakstabil,['tiktokjaringantidakstabil'],['tiktokjaringantidakstabil']
194,Bagus,2,-1,Bagus,bagus,['bagus'],['bagus']
195,Atai,2,-1,Atai,atai,['atai'],['atai']
196,Good,5,1,Good,good,['good'],['good']
197,Good,5,1,Good,good,['good'],['good']
198,Knapa tiktok gk bisa nonton live,3,0,Knapatiktokgkbisanontonlive,knapatiktokgkbisanontonlive,['knapatiktokgkbisanontonlive'],['knapatiktokgkbisanontonlive']
199,Bagus.....bersyukur ada aplikasi medsos seperti ini.....mantap👍,5,1,Bagusbersyukuradaaplikasimedsossepertiinimantap,bagusbersyukuradaaplikasimedsossepertiinimantap,['bagusbersyukuradaaplikasimedsossepertiinimantap'],['bagusbersyukuradaaplikasimedsossepertiinimantap']
200,Saya telah download aplikasi ini tapi templatenya anggaK muncul tolong perbaiki🙏🙏,5,1,SayatelahdownloadaplikasiinitapitemplatenyaanggaKmuncultolongperbaiki,sayatelahdownloadaplikasiinitapitemplatenyaanggakmuncultolongperbaiki,['sayatelahdownloadaplikasiinitapitemplatenyaanggakmuncultolongperbaiki'],['sayatelahdownloadaplikasiinitapitemplatenyaanggakmuncultolongperbaiki']
201,tavio,5,1,tavio,tavio,['tavio'],['tavio']
202,Menghibur 😻🎊🎈🎭,5,1,Menghibur,menghibur,['menghibur'],['menghibur']
203,Sangat bagus dan menarik suka dan sangat membantu.,5,1,Sangatbagusdanmenariksukadansangatmembantu,sangatbagusdanmenariksukadansangatmembantu,['sangatbagusdanmenariksukadansangatmembantu'],['sangatbagusdanmenariksukadansangatmembantu']
204,Bagus banget gilaaak seruuu cuy,5,1,Bagusbangetgilaaakseruuucuy,bagusbangetgilaaakseruuucuy,['bagusbangetgilaaakseruuucuy'],['bagusbangetgilaaakseruuucuy']
205,Bagus,5,1,Bagus,bagus,['bagus'],['bagus']
206,Good,5,1,Good,good,['good'],['good']
207,Emang babi padahal akun baru aku buat tapi tidak bisa mengikuti penguna yang lain bukan hanya aku yang mengalami ini,1,-1,Emangbabipadahalakunbaruakubuattapitidakbisamengikutipengunayanglainbukanhanyaakuyangmengalamiini,emangbabipadahalakunbaruakubuattapitidakbisamengikutipengunayanglainbukanhanyaakuyangmengalamiini,['emangbabipadahalakunbaruakubuattapitidakbisamengikutipengunayanglainbukanhanyaakuyangmengalamiini'],['emangbabipadahalakunbaruakubuattapitidakbisamengikutipengunayanglainbukanhanyaakuyangmengalamiini']
208,𝑺𝒂𝒚𝒂 𝒕𝒊𝒅𝒂𝒌 𝒃𝒊𝒔𝒂𝒉 𝒍𝒊𝒗𝒆 𝒅𝒊 𝒕𝒊𝒌𝒕𝒐𝒌,2,-1,,,[],[]
209,Lama lpadingnya Njierrr 🙄,1,-1,LamalpadingnyaNjierrr,lamalpadingnyanjierrr,['lamalpadingnyanjierrr'],['lamalpadingnyanjierrr']
210,Letisia soares,5,1,Letisiasoares,letisiasoares,['letisiasoares'],['letisiasoares']
211,Mantap,5,1,Mantap,mantap,['mantap'],['mantap']
212,Sukses selalu,5,1,Suksesselalu,suksesselalu,['suksesselalu'],['suksesselalu']
213,bguss,5,1,bguss,bguss,['bguss'],['bguss']
214,Good,5,1,Good,good,['good'],['good']
215,Oke,5,1,Oke,oke,['oke'],['oke']
216,Aplikasi nia sanga mengesankan Ga niesal uda donlowod,5,1,AplikasiniasangamengesankanGaniesaludadonlowod,aplikasiniasangamengesankanganiesaludadonlowod,['aplikasiniasangamengesankanganiesaludadonlowod'],['aplikasiniasangamengesankanganiesaludadonlowod']
217,sangat baik,5,1,sangatbaik,sangatbaik,['sangatbaik'],['sangatbaik']
218,Faosal Hosting,5,1,FaosalHosting,faosalhosting,['faosalhosting'],['faosalhosting']
219,kerennnn,5,1,kerennnn,kerennnn,['kerennnn'],['kerennnn']
220,"Aplikasi ini sekarang membuat saya tidak nyaman, setiap buka tiktok selalu berhenti di logo saja, lalu hp saya jadi lemot. Padahal ram 6gb internal 128gb space masih kosong banyak. Saya mengira awalnya hp saya rusak, ternyata aplikasi ini yg buat hp saya rusak",1,-1,AplikasiinisekarangmembuatsayatidaknyamansetiapbukatiktokselaluberhentidilogosajalaluhpsayajadilemotPadahalramgbinternalgbspacemasihkosongbanyakSayamengiraawalnyahpsayarusakternyataaplikasiiniygbuathpsayarusak,aplikasiinisekarangmembuatsayatidaknyamansetiapbukatiktokselaluberhentidilogosajalaluhpsayajadilemotpadahalramgbinternalgbspacemasihkosongbanyaksayamengiraawalnyahpsayarusakternyataaplikasiiniygbuathpsayarusak,['aplikasiinisekarangmembuatsayatidaknyamansetiapbukatiktokselaluberhentidilogosajalaluhpsayajadilemotpadahalramgbinternalgbspacemasihkosongbanyaksayamengiraawalnyahpsayarusakternyataaplikasiiniygbuathpsayarusak'],['aplikasiinisekarangmembuatsayatidaknyamansetiapbukatiktokselaluberhentidilogosajalaluhpsayajadilemotpadahalramgbinternalgbspacemasihkosongbanyaksayamengiraawalnyahpsayarusakternyataaplikasiiniygbuathpsayarusak']
221,Bagus,5,1,Bagus,bagus,['bagus'],['bagus']
222,Sufiyan Shaikh,5,1,SufiyanShaikh,sufiyanshaikh,['sufiyanshaikh'],['sufiyanshaikh']
223,Ok,5,1,Ok,ok,['ok'],[]
224,"Bermanfaat SEKALI, coba seandainya vidio yg sudah di upload oleh kita ngga banyak penonton juga dibayar. Artinya kita juga bisa giat2 mengupload sekaligus belajar dari konten kreator lain. TERIMAKASIH",5,1,BermanfaatSEKALIcobaseandainyavidioygsudahdiuploadolehkitanggabanyakpenontonjugadibayarArtinyakitajugabisagiatmenguploadsekaligusbelajardarikontenkreatorlainTERIMAKASIH,bermanfaatsekalicobaseandainyavidioygsudahdiuploadolehkitanggabanyakpenontonjugadibayarartinyakitajugabisagiatmenguploadsekaligusbelajardarikontenkreatorlainterimakasih,['bermanfaatsekalicobaseandainyavidioygsudahdiuploadolehkitanggabanyakpenontonjugadibayarartinyakitajugabisagiatmenguploadsekaligusbelajardarikontenkreatorlainterimakasih'],['bermanfaatsekalicobaseandainyavidioygsudahdiuploadolehkitanggabanyakpenontonjugadibayarartinyakitajugabisagiatmenguploadsekaligusbelajardarikontenkreatorlainterimakasih']
225,Kenapa tiktok saya. Sering tidak bisa di buka aplikasi tiktok. Selalu saya hapus dan download lagi. Kalau live. Ad pembritauan bahwa penonton di batasi. Tolong yg tau info nya. Kendala dimna?,4,1,KenapatiktoksayaSeringtidakbisadibukaaplikasitiktokSelalusayahapusdandownloadlagiKalauliveAdpembritauanbahwapenontondibatasiTolongygtauinfonyaKendaladimna,kenapatiktoksayaseringtidakbisadibukaaplikasitiktokselalusayahapusdandownloadlagikalauliveadpembritauanbahwapenontondibatasitolongygtauinfonyakendaladimna,['kenapatiktoksayaseringtidakbisadibukaaplikasitiktokselalusayahapusdandownloadlagikalauliveadpembritauanbahwapenontondibatasitolongygtauinfonyakendaladimna'],['kenapatiktoksayaseringtidakbisadibukaaplikasitiktokselalusayahapusdandownloadlagikalauliveadpembritauanbahwapenontondibatasitolongygtauinfonyakendaladimna']
226,Bgus sosial media hiburan yang komplit,5,1,Bgussosialmediahiburanyangkomplit,bgussosialmediahiburanyangkomplit,['bgussosialmediahiburanyangkomplit'],['bgussosialmediahiburanyangkomplit']
227,✌✌✌👍👍👍👍👍👍👌👌good,5,1,good,good,['good'],['good']
228,Sullman,1,-1,Sullman,sullman,['sullman'],['sullman']
229,mmbantu,5,1,mmbantu,mmbantu,['mmbantu'],['mmbantu']
230,aplikasi nya lemot banget dasar lho anjiiiingg,1,-1,aplikasinyalemotbangetdasarlhoanjiiiingg,aplikasinyalemotbangetdasarlhoanjiiiingg,['aplikasinyalemotbangetdasarlhoanjiiiingg'],['aplikasinyalemotbangetdasarlhoanjiiiingg']
231,Mohon tiktok ku diupgrade karena masih versi lama terimakasih,2,-1,Mohontiktokkudiupgradekarenamasihversilamaterimakasih,mohontiktokkudiupgradekarenamasihversilamaterimakasih,['mohontiktokkudiupgradekarenamasihversilamaterimakasih'],['mohontiktokkudiupgradekarenamasihversilamaterimakasih']
232,Petu,5,1,Petu,petu,['petu'],['petu']
233,Luar biasa,5,1,Luarbiasa,luarbiasa,['luarbiasa'],['luarbiasa']
234,Sangat bagus buat nonton video pendek,5,1,Sangatbagusbuatnontonvideopendek,sangatbagusbuatnontonvideopendek,['sangatbagusbuatnontonvideopendek'],['sangatbagusbuatnontonvideopendek']
235,Very good,5,1,Verygood,verygood,['verygood'],['verygood']
236,Sangat bermamfaat,5,1,Sangatbermamfaat,sangatbermamfaat,['sangatbermamfaat'],['sangatbermamfaat']
237,Tidak terlalubagus,1,-1,Tidakterlalubagus,tidakterlalubagus,['tidakterlalubagus'],['tidakterlalubagus']
238,sangat suka tapi saat membuka loadingnya lama.,3,0,sangatsukatapisaatmembukaloadingnyalama,sangatsukatapisaatmembukaloadingnyalama,['sangatsukatapisaatmembukaloadingnyalama'],['sangatsukatapisaatmembukaloadingnyalama']
239,Terimakasih,5,1,Terimakasih,terimakasih,['terimakasih'],['terimakasih']
240,Kenapa setiap kali aku suka moan di draft videoku. Rencana mau ngedit.. malah nggak bisa... 😒,3,0,KenapasetiapkaliakusukamoandidraftvideokuRencanamaungeditmalahnggakbisa,kenapasetiapkaliakusukamoandidraftvideokurencanamaungeditmalahnggakbisa,['kenapasetiapkaliakusukamoandidraftvideokurencanamaungeditmalahnggakbisa'],['kenapasetiapkaliakusukamoandidraftvideokurencanamaungeditmalahnggakbisa']
241,Sulap ngk ad😫,1,-1,Sulapngkad,sulapngkad,['sulapngkad'],['sulapngkad']
242,Hahahahahahah,5,1,Hahahahahahah,hahahahahahah,['hahahahahahah'],['hahahahahahah']
243,আপনিযেআমারএই,3,0,,,[],[]
244,"Karena tidak memuaskan selain sering update suka tiba"" keluarkan diri dan minta di pulihkan kaya orang sakit aja minta berobat...",3,0,Karenatidakmemuaskanselainseringupdatesukatibakeluarkandiridanmintadipulihkankayaorangsakitajamintaberobat,karenatidakmemuaskanselainseringupdatesukatibakeluarkandiridanmintadipulihkankayaorangsakitajamintaberobat,['karenatidakmemuaskanselainseringupdatesukatibakeluarkandiridanmintadipulihkankayaorangsakitajamintaberobat'],['karenatidakmemuaskanselainseringupdatesukatibakeluarkandiridanmintadipulihkankayaorangsakitajamintaberobat']
245,Aplikasi ya udah donwlot tapi gabisa masuk,3,0,Aplikasiyaudahdonwlottapigabisamasuk,aplikasiyaudahdonwlottapigabisamasuk,['aplikasiyaudahdonwlottapigabisamasuk'],['aplikasiyaudahdonwlottapigabisamasuk']
246,Sanngat bgus....,5,1,Sanngatbgus,sanngatbgus,['sanngatbgus'],['sanngatbgus']
247,Asa yfan,3,0,Asayfan,asayfan,['asayfan'],['asayfan']
248,Very nice,5,1,Verynice,verynice,['verynice'],['verynice']
249,Mantap banget,5,1,Mantapbanget,mantapbanget,['mantapbanget'],['mantapbanget']
250,Raikb,5,1,Raikb,raikb,['raikb'],['raikb']
251,"Saya kasih bintang 5 karena aplikasi TikTok ini sangat memuaskan,dan sangat menghibur",5,1,SayakasihbintangkarenaaplikasiTikTokinisangatmemuaskandansangatmenghibur,sayakasihbintangkarenaaplikasitiktokinisangatmemuaskandansangatmenghibur,['sayakasihbintangkarenaaplikasitiktokinisangatmemuaskandansangatmenghibur'],['sayakasihbintangkarenaaplikasitiktokinisangatmemuaskandansangatmenghibur']
252,Terima kasi untuk app ne saya suka,5,1,Terimakasiuntukappnesayasuka,terimakasiuntukappnesayasuka,['terimakasiuntukappnesayasuka'],['terimakasiuntukappnesayasuka']
253,Mengapa akun saya di blokir,2,-1,Mengapaakunsayadiblokir,mengapaakunsayadiblokir,['mengapaakunsayadiblokir'],['mengapaakunsayadiblokir']
254,Paulalis,5,1,Paulalis,paulalis,['paulalis'],['paulalis']
255,Aplikasi ini juga bisa digunakan sebagai bahan,1,-1,Aplikasiinijugabisadigunakansebagaibahan,aplikasiinijugabisadigunakansebagaibahan,['aplikasiinijugabisadigunakansebagaibahan'],['aplikasiinijugabisadigunakansebagaibahan']
256,Good i like,5,1,Goodilike,goodilike,['goodilike'],['goodilike']
257,Seneng dpat rejeki Alhamdulillah dengan nonton vidio,5,1,SenengdpatrejekiAlhamdulillahdengannontonvidio,senengdpatrejekialhamdulillahdengannontonvidio,['senengdpatrejekialhamdulillahdengannontonvidio'],['senengdpatrejekialhamdulillahdengannontonvidio']
258,Very good,5,1,Verygood,verygood,['verygood'],['verygood']
259,Verry good bagus kerja bagus,5,1,Verrygoodbaguskerjabagus,verrygoodbaguskerjabagus,['verrygoodbaguskerjabagus'],['verrygoodbaguskerjabagus']
260,"Sangat menyenangkan bisa berkenalan dan memperbanyak teman,dan dapan uang sampingan",5,1,Sangatmenyenangkanbisaberkenalandanmemperbanyaktemandandapanuangsampingan,sangatmenyenangkanbisaberkenalandanmemperbanyaktemandandapanuangsampingan,['sangatmenyenangkanbisaberkenalandanmemperbanyaktemandandapanuangsampingan'],['sangatmenyenangkanbisaberkenalandanmemperbanyaktemandandapanuangsampingan']
261,Suks,5,1,Suks,suks,['suks'],['suks']
262,Cocok untuk hiburan pas lagi gabut,5,1,Cocokuntukhiburanpaslagigabut,cocokuntukhiburanpaslagigabut,['cocokuntukhiburanpaslagigabut'],['cocokuntukhiburanpaslagigabut']
263,Even,5,1,Even,even,['even'],['even']
264,🕋🕌,3,0,,,[],[]
265,Good,5,1,Good,good,['good'],['good']
266,Ok,5,1,Ok,ok,['ok'],[]
267,"Tolong di akun saya tidak bisa semua orang,dari Komentar juga gk bisa tolong diperbaiki🙏🏽🙏🏽",4,1,TolongdiakunsayatidakbisasemuaorangdariKomentarjugagkbisatolongdiperbaiki,tolongdiakunsayatidakbisasemuaorangdarikomentarjugagkbisatolongdiperbaiki,['tolongdiakunsayatidakbisasemuaorangdarikomentarjugagkbisatolongdiperbaiki'],['tolongdiakunsayatidakbisasemuaorangdarikomentarjugagkbisatolongdiperbaiki']
268,Jessy matai,5,1,Jessymatai,jessymatai,['jessymatai'],['jessymatai']
269,Grifario kehi,5,1,Grifariokehi,grifariokehi,['grifariokehi'],['grifariokehi']
270,Terbaik until tonton Dan bagus tapi Installe nya lama,5,1,TerbaikuntiltontonDanbagustapiInstallenyalama,terbaikuntiltontondanbagustapiinstallenyalama,['terbaikuntiltontondanbagustapiinstallenyalama'],['terbaikuntiltontondanbagustapiinstallenyalama']
271,Üç ki,1,-1,ki,ki,['ki'],['ki']
272,Teristal,5,1,Teristal,teristal,['teristal'],['teristal']
273,"Sudah mengajukan keluhan kepada pihak Customer Service bahwa fitur live game pada akun saya tidak tersedia dan hanya ada fitur live biasa, tapi tidak ada tindakan maupun jawaban selama lebih dari 2 hari",1,-1,SudahmengajukankeluhankepadapihakCustomerServicebahwafiturlivegamepadaakunsayatidaktersediadanhanyaadafiturlivebiasatapitidakadatindakanmaupunjawabanselamalebihdarihari,sudahmengajukankeluhankepadapihakcustomerservicebahwafiturlivegamepadaakunsayatidaktersediadanhanyaadafiturlivebiasatapitidakadatindakanmaupunjawabanselamalebihdarihari,['sudahmengajukankeluhankepadapihakcustomerservicebahwafiturlivegamepadaakunsayatidaktersediadanhanyaadafiturlivebiasatapitidakadatindakanmaupunjawabanselamalebihdarihari'],['sudahmengajukankeluhankepadapihakcustomerservicebahwafiturlivegamepadaakunsayatidaktersediadanhanyaadafiturlivebiasatapitidakadatindakanmaupunjawabanselamalebihdarihari']
274,Bguss sekali,5,1,Bgusssekali,bgusssekali,['bgusssekali'],['bgusssekali']
275,"update yang berlangsung sangat lama, apalagi buka aplikasinya, sangat berat karena menguras ram padahal ram saya 3gb. Sungguh menjengkelkan..",1,-1,updateyangberlangsungsangatlamaapalagibukaaplikasinyasangatberatkarenamengurasrampadahalramsayagbSungguhmenjengkelkan,updateyangberlangsungsangatlamaapalagibukaaplikasinyasangatberatkarenamengurasrampadahalramsayagbsungguhmenjengkelkan,['updateyangberlangsungsangatlamaapalagibukaaplikasinyasangatberatkarenamengurasrampadahalramsayagbsungguhmenjengkelkan'],['updateyangberlangsungsangatlamaapalagibukaaplikasinyasangatberatkarenamengurasrampadahalramsayagbsungguhmenjengkelkan']
276,Fbg.,1,-1,Fbg,fbg,['fbg'],['fbg']
277,👍👍👍,5,1,,,[],[]
278,Memang sangat bagus,5,1,Memangsangatbagus,memangsangatbagus,['memangsangatbagus'],['memangsangatbagus']
279,Bisa di buka tiktok,5,1,Bisadibukatiktok,bisadibukatiktok,['bisadibukatiktok'],['bisadibukatiktok']
280,👍👍,4,1,,,[],[]
281,Apk Nia Bgs,5,1,ApkNiaBgs,apkniabgs,['apkniabgs'],['apkniabgs']
282,Yg pasti tiktok itu....untuk hiburan & business...good's,5,1,Ygpastitiktokituuntukhiburanbusinessgoods,ygpastitiktokituuntukhiburanbusinessgoods,['ygpastitiktokituuntukhiburanbusinessgoods'],['ygpastitiktokituuntukhiburanbusinessgoods']
283,Ok,5,1,Ok,ok,['ok'],[]
284,Pihak tik tok yang terhormat saya minta tolong Mohon di perbaiki lagi dengan konsisten.,2,-1,PihaktiktokyangterhormatsayamintatolongMohondiperbaikilagidengankonsisten,pihaktiktokyangterhormatsayamintatolongmohondiperbaikilagidengankonsisten,['pihaktiktokyangterhormatsayamintatolongmohondiperbaikilagidengankonsisten'],['pihaktiktokyangterhormatsayamintatolongmohondiperbaikilagidengankonsisten']
