Date,Username,Rating,Review Text,cleaning,case_folding,normalisasi,tokenize,stopword removal,steming_data,Sentiment
2024-12-15 08:01:50,fox fox1,1,Aku tidak bisa mendownload,Aku tidak bisa mendownload,aku tidak bisa mendownload,aku tidak bisa mendownload,"['aku', 'tidak', 'bisa', 'mendownload']",['mendownload'],mendownload,Negative
2024-12-15 08:01:37,wong clp clp,5,Mantap sangat baik,Mantap sangat baik,mantap sangat baik,mantap sangat baik,"['mantap', 'sangat', 'baik']",['mantap'],mantap,Positif
2024-12-15 08:00:47,Ican,1,"yang jujur di banned , yang nakal dan merusak generasi muda di biarkan sama tiktok apakah itu adil pelanggaran .",yang jujur di banned  yang nakal dan merusak generasi muda di biarkan sama tiktok apakah itu adil pelanggaran ,yang jujur di banned  yang nakal dan merusak generasi muda di biarkan sama tiktok apakah itu adil pelanggaran ,yang jujur di banned yang nakal dan merusak generasi muda di biarkan sama tiktok apakah itu adil pelanggaran,"['yang', 'jujur', 'di', 'banned', 'yang', 'nakal', 'dan', 'merusak', 'generasi', 'muda', 'di', 'biarkan', 'sama', 'tiktok', 'apakah', 'itu', 'adil', 'pelanggaran']","['jujur', 'banned', 'nakal', 'merusak', 'generasi', 'muda', 'biarkan', 'tiktok', 'adil', 'pelanggaran']",jujur banned nakal rusak generasi muda biar tiktok adil langgar,Negative
2024-12-15 07:59:15,Natalia Setiawan,1,sering banget bug ngefreeze di logonya doang tolong diperbaiki dong tiktok saya jadi harus instal ulang aplikasi ini terus,sering banget bug ngefreeze di logonya doang tolong diperbaiki dong tiktok saya jadi harus instal ulang aplikasi ini terus,sering banget bug ngefreeze di logonya doang tolong diperbaiki dong tiktok saya jadi harus instal ulang aplikasi ini terus,sering banget bug ngefreeze di logonya doang tolong diperbaiki dong tiktok saya jadi harus instal ulang aplikasi ini terus,"['sering', 'banget', 'bug', 'ngefreeze', 'di', 'logonya', 'doang', 'tolong', 'diperbaiki', 'dong', 'tiktok', 'saya', 'jadi', 'harus', 'instal', 'ulang', 'aplikasi', 'ini', 'terus']","['banget', 'bug', 'ngefreeze', 'logonya', 'doang', 'tolong', 'diperbaiki', 'tiktok', 'instal', 'ulang', 'aplikasi']",banget bug ngefreeze logo doang tolong baik tiktok instal ulang aplikasi,Positif
2024-12-15 07:58:24,Kadir Jailani 73,5,Aplikasi yang tidak,Aplikasi yang tidak,aplikasi yang tidak,aplikasi yang tidak,"['aplikasi', 'yang', 'tidak']",['aplikasi'],aplikasi,Negative
2024-12-15 07:58:17,Wanwan Wan,5,Top markotop,Top markotop,top markotop,top markotop,"['top', 'markotop']","['top', 'markotop']",top markotop,Positif
2024-12-15 07:57:48,Cinta Mesya,5,Bagus bngtt,Bagus bngtt,bagus bngtt,bagus banget,"['bagus', 'banget']","['bagus', 'banget']",bagus banget,Positif
2024-12-15 07:57:29,Nanda Putri Aulia,1,ga bisa kebuka trs jadi nya tiap hari download,ga bisa kebuka trs jadi nya tiap hari download,ga bisa kebuka trs jadi nya tiap hari download,tidak bisa kebuka terus jadi ya tiap hari download,"['tidak', 'bisa', 'kebuka', 'terus', 'jadi', 'ya', 'tiap', 'hari', 'download']","['kebuka', 'ya', 'download']",buka ya download,Positif
2024-12-15 07:55:57,Uci Collection,2,Sering bug Dan Lama dibuka,Sering bug Dan Lama dibuka,sering bug dan lama dibuka,sering bug dan lama dibuka,"['sering', 'bug', 'dan', 'lama', 'dibuka']","['bug', 'dibuka']",bug buka,Negative
2024-12-15 07:55:23,Kurnia Dwi Nurindy,1,Sering lag dan bikin HP macet,Sering lag dan bikin HP macet,sering lag dan bikin hp macet,sering lag dan bikin hp macet,"['sering', 'lag', 'dan', 'bikin', 'hp', 'macet']","['lag', 'bikin', 'hp', 'macet']",lag bikin hp macet,Positif
2024-12-15 07:54:29,Alim Saputra,5,Untung ada tiktok untuk meng hibur ku,Untung ada tiktok untuk meng hibur ku,untung ada tiktok untuk meng hibur ku,untung ada tiktok untuk meng hibur ku,"['untung', 'ada', 'tiktok', 'untuk', 'meng', 'hibur', 'ku']","['untung', 'tiktok', 'meng', 'hibur', 'ku']",untung tiktok meng hibur ku,Negative
2024-12-15 07:54:13,Luki 0221,1,Ada fitur yang engga kebuka dan followers ku udh bnyk TPI blm bisa live,Ada fitur yang engga kebuka dan followers ku udh bnyk TPI blm bisa live,ada fitur yang engga kebuka dan followers ku udh bnyk tpi blm bisa live,ada fitur yang tidak kebuka dan followers ku sudah banyak tapi belum bisa live,"['ada', 'fitur', 'yang', 'tidak', 'kebuka', 'dan', 'followers', 'ku', 'sudah', 'banyak', 'tapi', 'belum', 'bisa', 'live']","['fitur', 'kebuka', 'followers', 'ku', 'live']",fitur buka followers ku live,Positif
2024-12-15 07:54:04,Arifun Zulfa,1,Lama banget ngebuka nya harus ku uninstall dulu biar bisa kebuka.TOLONG PERBAIKI,Lama banget ngebuka nya harus ku uninstall dulu biar bisa kebukaTOLONG PERBAIKI,lama banget ngebuka nya harus ku uninstall dulu biar bisa kebukatolong perbaiki,lama banget ngebuka ya harus ku uninstall dulu biar bisa kebukatolong perbaiki,"['lama', 'banget', 'ngebuka', 'ya', 'harus', 'ku', 'uninstall', 'dulu', 'biar', 'bisa', 'kebukatolong', 'perbaiki']","['banget', 'ngebuka', 'ya', 'ku', 'uninstall', 'biar', 'kebukatolong', 'perbaiki']",banget ngebuka ya ku uninstall biar kebukatolong baik,Positif
2024-12-15 07:52:52,Muhardi Ardi,1,Cekin gak bisa berbulan bulan tunggu gak punya koin mnding di hapus aja jnkel,Cekin gak bisa berbulan bulan tunggu gak punya koin mnding di hapus aja jnkel,cekin gak bisa berbulan bulan tunggu gak punya koin mnding di hapus aja jnkel,cekin tidak bisa berbulan bulan tunggu tidak punya koin mending di hapus saja jnkel,"['cekin', 'tidak', 'bisa', 'berbulan', 'bulan', 'tunggu', 'tidak', 'punya', 'koin', 'mending', 'di', 'hapus', 'saja', 'jnkel']","['cekin', 'berbulan', 'tunggu', 'koin', 'mending', 'hapus', 'jnkel']",cekin bulan tunggu koin mending hapus jnkel,Negative
2024-12-15 07:52:13,Sabdi Sinaga,5,Menyenangkan sekali,Menyenangkan sekali,menyenangkan sekali,menyenangkan sekali,"['menyenangkan', 'sekali']",['menyenangkan'],senang,Positif
2024-12-15 07:52:12,Ati Sihombing,4,Bagus bgtt,Bagus bgtt,bagus bgtt,bagus banget,"['bagus', 'banget']","['bagus', 'banget']",bagus banget,Positif
2024-12-15 07:51:40,Nandita Refka,1,APAAN ANJAI MAIN BLOCK ACC SEENAKNUA,APAAN ANJAI MAIN BLOCK ACC SEENAKNUA,apaan anjai main block acc seenaknua,apaan anjai main block acc seenaknua,"['apaan', 'anjai', 'main', 'block', 'acc', 'seenaknua']","['anjai', 'main', 'block', 'acc', 'seenaknua']",anja main block acc seenaknua,Negative
2024-12-15 07:50:45,Rayyan Bae,1,Ga bisa masuk lagi,Ga bisa masuk lagi,ga bisa masuk lagi,tidak bisa masuk lagi,"['tidak', 'bisa', 'masuk', 'lagi']",['masuk'],masuk,Negative
2024-12-15 07:49:14,Alifa Qori,3,stiap slesai update ga bisa di buka,stiap slesai update ga bisa di buka,stiap slesai update ga bisa di buka,setiap slesai update tidak bisa di buka,"['setiap', 'slesai', 'update', 'tidak', 'bisa', 'di', 'buka']","['slesai', 'update', 'buka']",slesai update buka,Negative
2024-12-15 07:48:59,Chadena nana,3,kenapaa yaa? ko di aku tiktok gabisa jawab komen lagii kaya logo ngirim nya tuh gabisa di klik 😭,kenapaa yaa ko di aku tiktok gabisa jawab komen lagii kaya logo ngirim nya tuh gabisa di klik ,kenapaa yaa ko di aku tiktok gabisa jawab komen lagii kaya logo ngirim nya tuh gabisa di klik ,kenapa ya kok di aku tiktok jawab komen lagi kayak logo mengirim ya tuh di klik,"['kenapa', 'ya', 'kok', 'di', 'aku', 'tiktok', 'jawab', 'komen', 'lagi', 'kayak', 'logo', 'mengirim', 'ya', 'tuh', 'di', 'klik']","['ya', 'tiktok', 'komen', 'kayak', 'logo', 'mengirim', 'ya', 'tuh', 'klik']",ya tiktok komen kayak logo kirim ya tuh klik,Positif
2024-12-15 07:48:09,aiudhia,1,"jujur udah muak y tp dr dlu ak tahan, tiktok itu freak bgt aps aku mau buka tiba' gabisa itu bkn sekali dua kali lo, di cache hpku jg bnr' gda riwayat buka tt ny pdhal aku buka, bad bgt pelayanan nya ud akunku dlu keblock skrg buka apk aj susah👎🏻",jujur udah muak y tp dr dlu ak tahan tiktok itu freak bgt aps aku mau buka tiba gabisa itu bkn sekali dua kali lo di cache hpku jg bnr gda riwayat buka tt ny pdhal aku buka bad bgt pelayanan nya ud akunku dlu keblock skrg buka apk aj susah,jujur udah muak y tp dr dlu ak tahan tiktok itu freak bgt aps aku mau buka tiba gabisa itu bkn sekali dua kali lo di cache hpku jg bnr gda riwayat buka tt ny pdhal aku buka bad bgt pelayanan nya ud akunku dlu keblock skrg buka apk aj susah,jujur sudah muak ya tapi dari dulu aku tahan tiktok itu freak banget aps aku mau buka tiba itu bukan sekali dua kali lo di cache hpku juga benar riwayat buka tt nya padahal aku buka bad banget pelayanan ya sudah akunku dulu keblock sekarang buka apk saja susah,"['jujur', 'sudah', 'muak', 'ya', 'tapi', 'dari', 'dulu', 'aku', 'tahan', 'tiktok', 'itu', 'freak', 'banget', 'aps', 'aku', 'mau', 'buka', 'tiba', 'itu', 'bukan', 'sekali', 'dua', 'kali', 'lo', 'di', 'cache', 'hpku', 'juga', 'benar', 'riwayat', 'buka', 'tt', 'nya', 'padahal', 'aku', 'buka', 'bad', 'banget', 'pelayanan', 'ya', 'sudah', 'akunku', 'dulu', 'keblock', 'sekarang', 'buka', 'apk', 'saja', 'susah']","['jujur', 'muak', 'ya', 'tahan', 'tiktok', 'freak', 'banget', 'aps', 'buka', 'kali', 'lo', 'cache', 'hpku', 'riwayat', 'buka', 'tt', 'nya', 'buka', 'bad', 'banget', 'pelayanan', 'ya', 'akunku', 'keblock', 'buka', 'apk', 'susah']",jujur muak ya tahan tiktok freak banget aps buka kali lo cache hpku riwayat buka tt nya buka bad banget layan ya akun keblock buka apk susah,Positif
2024-12-15 07:47:18,Putry Puhte,5,Luar biasa bagus,Luar biasa bagus,luar biasa bagus,luar biasa bagus,"['luar', 'biasa', 'bagus']",['bagus'],bagus,Negative
2024-12-15 07:45:24,M ALVARO SB PSB PSB,5,saya senang dengan tiktok berikan saya koin atau uang di tiktok,saya senang dengan tiktok berikan saya koin atau uang di tiktok,saya senang dengan tiktok berikan saya koin atau uang di tiktok,saya senang dengan tiktok berikan saya koin atau uang di tiktok,"['saya', 'senang', 'dengan', 'tiktok', 'berikan', 'saya', 'koin', 'atau', 'uang', 'di', 'tiktok']","['senang', 'tiktok', 'koin', 'uang', 'tiktok']",senang tiktok koin uang tiktok,Positif
2024-12-15 07:44:45,Weni Tri,5,Puas & bagus amanah,Puas  bagus amanah,puas  bagus amanah,puas bagus amanah,"['puas', 'bagus', 'amanah']","['puas', 'bagus', 'amanah']",puas bagus amanah,Positif
2024-12-15 07:43:52,Cici Cici,1,Aplikasi apa kek gini ga bisa di bukak bnci bgttt,Aplikasi apa kek gini ga bisa di bukak bnci bgttt,aplikasi apa kek gini ga bisa di bukak bnci bgttt,aplikasi apa kayak begini tidak bisa di buka bnci banget,"['aplikasi', 'apa', 'kayak', 'begini', 'tidak', 'bisa', 'di', 'buka', 'bnci', 'banget']","['aplikasi', 'kayak', 'buka', 'bnci', 'banget']",aplikasi kayak buka bnci banget,Negative
2024-12-15 07:42:46,Yuriyanto Yuri,2,tolong ya tik tok jangan keseringan susah di buka masa aku harus down km trs,tolong ya tik tok jangan keseringan susah di buka masa aku harus down km trs,tolong ya tik tok jangan keseringan susah di buka masa aku harus down km trs,tolong ya tik tok jangan keseringan susah di buka masa aku harus down kamu terus,"['tolong', 'ya', 'tik', 'tok', 'jangan', 'keseringan', 'susah', 'di', 'buka', 'masa', 'aku', 'harus', 'down', 'kamu', 'terus']","['tolong', 'ya', 'tik', 'tok', 'keseringan', 'susah', 'buka', 'down']",tolong ya tik tok sering susah buka down,Negative
2024-12-15 07:40:52,dellaabaikhati001,5,anjay,anjay,anjay,anjay,['anjay'],['anjay'],anjay,Negative
2024-12-15 07:40:43,Silvia Putri,5,Apk nya sangat bagus bisa menghibur kita trmksi untuk apk tiktok😇,Apk nya sangat bagus bisa menghibur kita trmksi untuk apk tiktok,apk nya sangat bagus bisa menghibur kita trmksi untuk apk tiktok,apk ya sangat bagus bisa menghibur kita trmksi untuk apk tiktok,"['apk', 'ya', 'sangat', 'bagus', 'bisa', 'menghibur', 'kita', 'trmksi', 'untuk', 'apk', 'tiktok']","['apk', 'ya', 'bagus', 'menghibur', 'trmksi', 'apk', 'tiktok']",apk ya bagus hibur trmksi apk tiktok,Positif
2024-12-15 07:40:15,Diana Ekawati,1,Capek harus di uninstal terus tiap hari. Karna ga bisa di buka,Capek harus di uninstal terus tiap hari Karna ga bisa di buka,capek harus di uninstal terus tiap hari karna ga bisa di buka,capek harus di uninstal terus tiap hari karena tidak bisa di buka,"['capek', 'harus', 'di', 'uninstal', 'terus', 'tiap', 'hari', 'karena', 'tidak', 'bisa', 'di', 'buka']","['capek', 'uninstal', 'buka']",capek uninstal buka,Positif
2024-12-15 07:39:55,Ujang Suherman,5,Kenapa tiktok sering susah di buka petunjuk ka lama banget Onlinenya,Kenapa tiktok sering susah di buka petunjuk ka lama banget Onlinenya,kenapa tiktok sering susah di buka petunjuk ka lama banget onlinenya,kenapa tiktok sering susah di buka petunjuk kak lama banget onlinenya,"['kenapa', 'tiktok', 'sering', 'susah', 'di', 'buka', 'petunjuk', 'kak', 'lama', 'banget', 'onlinenya']","['tiktok', 'susah', 'buka', 'petunjuk', 'kak', 'banget', 'onlinenya']",tiktok susah buka tunjuk kak banget onlinenya,Negative
2024-12-15 07:38:09,Diana M Longdong Diana,5,Sya sangat suka sama aplikasi ini,Sya sangat suka sama aplikasi ini,sya sangat suka sama aplikasi ini,saya sangat suka sama aplikasi ini,"['saya', 'sangat', 'suka', 'sama', 'aplikasi', 'ini']","['suka', 'aplikasi']",suka aplikasi,Negative
2024-12-15 07:37:10,Roddy nan,5,Sangat membantu,Sangat membantu,sangat membantu,sangat membantu,"['sangat', 'membantu']",['membantu'],bantu,Positif
2024-12-15 07:36:16,estatiun,3,"woi anj anj, gw cuman komen ""kirim wa"" Katanya melanggar gmana sih lu",woi anj anj gw cuman komen kirim wa Katanya melanggar gmana sih lu,woi anj anj gw cuman komen kirim wa katanya melanggar gmana sih lu,woi anjing anjing gue cuman komen kirim wa katanya melanggar bagaimana sih kamu,"['woi', 'anjing', 'anjing', 'gue', 'cuman', 'komen', 'kirim', 'wa', 'katanya', 'melanggar', 'bagaimana', 'sih', 'kamu']","['woi', 'anjing', 'anjing', 'gue', 'cuman', 'komen', 'kirim', 'wa', 'melanggar', 'sih']",woi anjing anjing gue cuman komen kirim wa langgar sih,Negative
2024-12-15 07:36:14,Rachma Nur'arfisyah,2,Suka tapi ngeleg sudah gitu saja,Suka tapi ngeleg sudah gitu saja,suka tapi ngeleg sudah gitu saja,suka tapi ngeleg sudah begitu saja,"['suka', 'tapi', 'ngeleg', 'sudah', 'begitu', 'saja']","['suka', 'ngeleg']",suka ngeleg,Negative
2024-12-15 07:35:52,Aulia Uyye,2,aduhh inii kenapa ya kok tik tok di pencet GK bisa dan gak keluar Vdio nya saya udah download berapa kalii Lo kok kayak gini capek tau download terusan tik tok kenapa dehh jelek bgt sekarang aku kasih tau ya tik tok itu dulu GK kayak gini tapi sekarang jelekk banget malasss gak usah download tik tok nya ini aja malass gyss aku kasih bintang 2 karna Nok wayyy,aduhh inii kenapa ya kok tik tok di pencet GK bisa dan gak keluar Vdio nya saya udah download berapa kalii Lo kok kayak gini capek tau download terusan tik tok kenapa dehh jelek bgt sekarang aku kasih tau ya tik tok itu dulu GK kayak gini tapi sekarang jelekk banget malasss gak usah download tik tok nya ini aja malass gyss aku kasih bintang  karna Nok wayyy,aduhh inii kenapa ya kok tik tok di pencet gk bisa dan gak keluar vdio nya saya udah download berapa kalii lo kok kayak gini capek tau download terusan tik tok kenapa dehh jelek bgt sekarang aku kasih tau ya tik tok itu dulu gk kayak gini tapi sekarang jelekk banget malasss gak usah download tik tok nya ini aja malass gyss aku kasih bintang  karna nok wayyy,aduh ini kenapa ya kok tik tok di pencet tidak bisa dan tidak keluar vdio ya saya sudah download berapa kali lo kok kayak begini capek tau download terusan tik tok kenapa deh jelek banget sekarang aku kasih tau ya tik tok itu dulu tidak kayak begini tapi sekarang jelekk banget malasss tidak usah download tik tok ya ini saja malass gyss aku kasih bintang karena nok wayyy,"['aduh', 'ini', 'kenapa', 'ya', 'kok', 'tik', 'tok', 'di', 'pencet', 'tidak', 'bisa', 'dan', 'tidak', 'keluar', 'vdio', 'ya', 'saya', 'sudah', 'download', 'berapa', 'kali', 'lo', 'kok', 'kayak', 'begini', 'capek', 'tau', 'download', 'terusan', 'tik', 'tok', 'kenapa', 'deh', 'jelek', 'banget', 'sekarang', 'aku', 'kasih', 'tau', 'ya', 'tik', 'tok', 'itu', 'dulu', 'tidak', 'kayak', 'begini', 'tapi', 'sekarang', 'jelekk', 'banget', 'malasss', 'tidak', 'usah', 'download', 'tik', 'tok', 'ya', 'ini', 'saja', 'malass', 'gyss', 'aku', 'kasih', 'bintang', 'karena', 'nok', 'wayyy']","['aduh', 'ya', 'tik', 'tok', 'pencet', 'vdio', 'ya', 'download', 'kali', 'lo', 'kayak', 'capek', 'tau', 'download', 'terusan', 'tik', 'tok', 'deh', 'jelek', 'banget', 'kasih', 'tau', 'ya', 'tik', 'tok', 'kayak', 'jelekk', 'banget', 'malasss', 'download', 'tik', 'tok', 'ya', 'malass', 'gyss', 'kasih', 'bintang', 'nok', 'wayyy']",aduh ya tik tok pencet vdio ya download kali lo kayak capek tau download terus tik tok deh jelek banget kasih tau ya tik tok kayak jelekk banget malasss download tik tok ya malass gyss kasih bintang nok wayyy,Positif
2024-12-15 07:35:38,Hygaes Gw spa ya,5,Bisa berkomunikasi secara dan mengedit video video jadi bagus,Bisa berkomunikasi secara dan mengedit video video jadi bagus,bisa berkomunikasi secara dan mengedit video video jadi bagus,bisa berkomunikasi secara dan mengedit video video jadi bagus,"['bisa', 'berkomunikasi', 'secara', 'dan', 'mengedit', 'video', 'video', 'jadi', 'bagus']","['berkomunikasi', 'mengedit', 'video', 'video', 'bagus']",komunikasi edit video video bagus,Negative
2024-12-15 07:34:48,Mariyanto Saradan,5,Titok untuk kita perkenalan,Titok untuk kita perkenalan,titok untuk kita perkenalan,titok untuk kita perkenalan,"['titok', 'untuk', 'kita', 'perkenalan']","['titok', 'perkenalan']",titok kenal,Positif
2024-12-15 07:33:42,Marsha Marsha25,1,"gatau lagi sama akun lo. gw komen orang yang uda ngehujat agama di batasi, melanggar komunitas, lah trd yang bikin kontn kaya gt gmn? apk lo sbnrnya bgs cuman klo gtu trs ya ENGGAK LAGI. phm kan mksut gw? -orang bikin konten ngerendahin agama, ENGGA NGELANGGAR -komen yang sehrsnya karna ga trima, MALAH LO LANGGAR gmn si mksut lo? apalagi yang konten"" dewasa, ngejelekin agama, dengan ada itu bisa trjadi perpecahan. mikir gsi?",gatau lagi sama akun lo gw komen orang yang uda ngehujat agama di batasi melanggar komunitas lah trd yang bikin kontn kaya gt gmn apk lo sbnrnya bgs cuman klo gtu trs ya ENGGAK LAGI phm kan mksut gw orang bikin konten ngerendahin agama ENGGA NGELANGGAR komen yang sehrsnya karna ga trima MALAH LO LANGGAR gmn si mksut lo apalagi yang konten dewasa ngejelekin agama dengan ada itu bisa trjadi perpecahan mikir gsi,gatau lagi sama akun lo gw komen orang yang uda ngehujat agama di batasi melanggar komunitas lah trd yang bikin kontn kaya gt gmn apk lo sbnrnya bgs cuman klo gtu trs ya enggak lagi phm kan mksut gw orang bikin konten ngerendahin agama engga ngelanggar komen yang sehrsnya karna ga trima malah lo langgar gmn si mksut lo apalagi yang konten dewasa ngejelekin agama dengan ada itu bisa trjadi perpecahan mikir gsi,lagi sama akun lo gue komen orang yang sudah menghujat agama di batasi melanggar komunitas lah trd yang bikin kontn kayak begitu bagaimana apk lo sbnrnya bagus cuman kalau begitu terus ya enggak lagi phm kan mksut gue orang bikin konten merendahkan agama tidak ngelanggar komen yang sehrsnya karena tidak terima malah lo langgar bagaimana sih mksut lo apalagi yang konten dewasa ngejelekin agama dengan ada itu bisa terjadi perpecahan mikir gsi,"['lagi', 'sama', 'akun', 'lo', 'gue', 'komen', 'orang', 'yang', 'sudah', 'menghujat', 'agama', 'di', 'batasi', 'melanggar', 'komunitas', 'lah', 'trd', 'yang', 'bikin', 'kontn', 'kayak', 'begitu', 'bagaimana', 'apk', 'lo', 'sbnrnya', 'bagus', 'cuman', 'kalau', 'begitu', 'terus', 'ya', 'enggak', 'lagi', 'phm', 'kan', 'mksut', 'gue', 'orang', 'bikin', 'konten', 'merendahkan', 'agama', 'tidak', 'ngelanggar', 'komen', 'yang', 'sehrsnya', 'karena', 'tidak', 'terima', 'malah', 'lo', 'langgar', 'bagaimana', 'sih', 'mksut', 'lo', 'apalagi', 'yang', 'konten', 'dewasa', 'ngejelekin', 'agama', 'dengan', 'ada', 'itu', 'bisa', 'terjadi', 'perpecahan', 'mikir', 'gsi']","['akun', 'lo', 'gue', 'komen', 'orang', 'menghujat', 'agama', 'batasi', 'melanggar', 'komunitas', 'trd', 'bikin', 'kontn', 'kayak', 'apk', 'lo', 'sbnrnya', 'bagus', 'cuman', 'ya', 'phm', 'mksut', 'gue', 'orang', 'bikin', 'konten', 'merendahkan', 'agama', 'ngelanggar', 'komen', 'sehrsnya', 'terima', 'lo', 'langgar', 'sih', 'mksut', 'lo', 'konten', 'dewasa', 'ngejelekin', 'agama', 'perpecahan', 'mikir', 'gsi']",akun lo gue komen orang hujat agama batas langgar komunitas trd bikin kontn kayak apk lo sbnrnya bagus cuman ya phm mksut gue orang bikin konten rendah agama ngelanggar komen sehrsnya terima lo langgar sih mksut lo konten dewasa ngejelekin agama pecah mikir gsi,Negative
2024-12-15 07:33:32,Pharadina Dewii,2,apknya makin lama ngebug. sering keluar sendiri. gk bisa dibuka. klo mau buka download hpus download hapus gtu trus,apknya makin lama ngebug sering keluar sendiri gk bisa dibuka klo mau buka download hpus download hapus gtu trus,apknya makin lama ngebug sering keluar sendiri gk bisa dibuka klo mau buka download hpus download hapus gtu trus,apknya makin lama ngebug sering keluar sendiri tidak bisa dibuka kalau mau buka download hapus download hapus begitu terus,"['apknya', 'makin', 'lama', 'ngebug', 'sering', 'keluar', 'sendiri', 'tidak', 'bisa', 'dibuka', 'kalau', 'mau', 'buka', 'download', 'hapus', 'download', 'hapus', 'begitu', 'terus']","['apknya', 'ngebug', 'dibuka', 'buka', 'download', 'hapus', 'download', 'hapus']",apknya ngebug buka buka download hapus download hapus,Negative
2024-12-15 07:32:14,Achmad Rafa,5,"Aplikasi ini berguna banget, selain itu aku juga bisa di datangi pengikut ku 99M🤩",Aplikasi ini berguna banget selain itu aku juga bisa di datangi pengikut ku M,aplikasi ini berguna banget selain itu aku juga bisa di datangi pengikut ku m,aplikasi ini berguna banget selain itu aku juga bisa di datangi pengikut ku sama,"['aplikasi', 'ini', 'berguna', 'banget', 'selain', 'itu', 'aku', 'juga', 'bisa', 'di', 'datangi', 'pengikut', 'ku', 'sama']","['aplikasi', 'berguna', 'banget', 'datangi', 'pengikut', 'ku']",aplikasi guna banget datang ikut ku,Negative
2024-12-15 07:31:53,Eka Yuliana Safitri,1,Tolong dong min dibenerin dg benar apknya masak habis 2 hari g bisa dibuka harus uninstall duluu capekk tauu,Tolong dong min dibenerin dg benar apknya masak habis  hari g bisa dibuka harus uninstall duluu capekk tauu,tolong dong min dibenerin dg benar apknya masak habis  hari g bisa dibuka harus uninstall duluu capekk tauu,tolong dong min dibenerin dengan benar apknya masak habis hari tidak bisa dibuka harus uninstall dulu capekk tau,"['tolong', 'dong', 'min', 'dibenerin', 'dengan', 'benar', 'apknya', 'masak', 'habis', 'hari', 'tidak', 'bisa', 'dibuka', 'harus', 'uninstall', 'dulu', 'capekk', 'tau']","['tolong', 'min', 'dibenerin', 'apknya', 'masak', 'habis', 'dibuka', 'uninstall', 'capekk', 'tau']",tolong min dibenerin apknya masak habis buka uninstall capekk tau,Negative
2024-12-15 07:31:46,Emon Yu,3,"Maaf mind. Ini apk udh 2 hari ga bisa di buka setelah update. Padahal kegiatan belanja sya sering di tiktok ini. Klau Kya gini kan jadi keganggu. Waktu itu pernah juga Kya bgini, smpe seminggu ga bisa di buka. Ini setelah update Kya bgini lagi, masa sekelas tiktok banyak bug nya. Tlong di perbaiki lagi. Terimakasih",Maaf mind Ini apk udh  hari ga bisa di buka setelah update Padahal kegiatan belanja sya sering di tiktok ini Klau Kya gini kan jadi keganggu Waktu itu pernah juga Kya bgini smpe seminggu ga bisa di buka Ini setelah update Kya bgini lagi masa sekelas tiktok banyak bug nya Tlong di perbaiki lagi Terimakasih,maaf mind ini apk udh  hari ga bisa di buka setelah update padahal kegiatan belanja sya sering di tiktok ini klau kya gini kan jadi keganggu waktu itu pernah juga kya bgini smpe seminggu ga bisa di buka ini setelah update kya bgini lagi masa sekelas tiktok banyak bug nya tlong di perbaiki lagi terimakasih,maaf mind ini apk sudah hari tidak bisa di buka setelah update padahal kegiatan belanja saya sering di tiktok ini kalau kaya begini kan jadi keganggu waktu itu pernah juga kaya begini sampai seminggu tidak bisa di buka ini setelah update kaya begini lagi masa sekelas tiktok banyak bug ya tlong di perbaiki lagi terimakasih,"['maaf', 'mind', 'ini', 'apk', 'sudah', 'hari', 'tidak', 'bisa', 'di', 'buka', 'setelah', 'update', 'padahal', 'kegiatan', 'belanja', 'saya', 'sering', 'di', 'tiktok', 'ini', 'kalau', 'kaya', 'begini', 'kan', 'jadi', 'keganggu', 'waktu', 'itu', 'pernah', 'juga', 'kaya', 'begini', 'sampai', 'seminggu', 'tidak', 'bisa', 'di', 'buka', 'ini', 'setelah', 'update', 'kaya', 'begini', 'lagi', 'masa', 'sekelas', 'tiktok', 'banyak', 'bug', 'ya', 'tlong', 'di', 'perbaiki', 'lagi', 'terimakasih']","['maaf', 'mind', 'apk', 'buka', 'update', 'kegiatan', 'belanja', 'tiktok', 'kaya', 'keganggu', 'kaya', 'seminggu', 'buka', 'update', 'kaya', 'sekelas', 'tiktok', 'bug', 'ya', 'tlong', 'perbaiki', 'terimakasih']",maaf mind apk buka update giat belanja tiktok kaya ganggu kaya minggu buka update kaya kelas tiktok bug ya tlong baik terimakasih,Negative
2024-12-15 07:30:16,Dian Dian,5,aplikasi yang sangat bagus tepat untuk mencari cuan harian,aplikasi yang sangat bagus tepat untuk mencari cuan harian,aplikasi yang sangat bagus tepat untuk mencari cuan harian,aplikasi yang sangat bagus tepat untuk mencari cuan harian,"['aplikasi', 'yang', 'sangat', 'bagus', 'tepat', 'untuk', 'mencari', 'cuan', 'harian']","['aplikasi', 'bagus', 'mencari', 'cuan', 'harian']",aplikasi bagus cari cuan hari,Negative
2024-12-15 07:28:06,Dian Novita,1,tiktok jelek ha ha ha,tiktok jelek ha ha ha,tiktok jelek ha ha ha,tiktok jelek ha ha ha,"['tiktok', 'jelek', 'ha', 'ha', 'ha']","['tiktok', 'jelek', 'ha', 'ha', 'ha']",tiktok jelek ha ha ha,Negative
