,userName,rating,at,comment
302,Afing XymeneZ,5,2024-10-07 11:14:57,Simpan
303,Noonick Mellyanty,5,2024-10-07 02:02:04,Jos
304,Alap alap,4,2024-10-06 21:49:48,Ok
305,Anser Shak,5,2024-10-06 19:10:37,Kokjk .
306,Taqiyuddin Al Hadid Zulkarnaen,1,2024-10-06 14:07:49,ini knp di play store ada 2 tiktok? (bukan tiktok lite)
307,Ricky Walker Nasution,5,2024-10-04 22:42:15,Tiktok duplikat memang oke 👍👍👍
308,Aprilia Talita,5,2024-10-04 19:27:55,Nice
309,Honório de Jesus,3,2024-10-04 18:19:57,Saya suka sekali Tik Tok bisa hibur saya
310,Nur Purwa,5,2024-10-04 18:09:28,aaaaaaaalos
311,Nivia Sonny Sonny,5,2024-10-04 17:05:34,Aku kasi Lima bintang karna bagus dan bermanfaat 👍😅🫴
312,Milah Aja,5,2024-10-04 09:29:25,Bagus
313,Enrique Prospero Bautista,5,2024-10-04 02:41:03,🎃
314,Reynal Krisdelindo,5,2024-10-03 23:57:25,I Like This
315,Dandi Daeng mapato,5,2024-10-03 23:32:47,Sangat bagus
316,Salamah 1,3,2024-10-03 19:37:23,Kenapa tiktok jadi gak bisa posting ulang
317,Aisyah Ahmad,5,2024-10-03 17:00:20,Saya sangat senang punya aplikasi tiktok
318,Febia Silva,5,2024-10-03 15:53:42,Aplikasi ini sangat bagus 👍👍💗
319,Muhammad Febri,1,2024-10-03 15:04:31,aplikasi banyak bug
320,Caitlin Freeman,4,2024-10-03 14:17:49,kurang bagus sih 😁
321,Nuncio Dacosta Narias,1,2024-10-03 10:17:29,Aku suka tiktok
322,Md SUPARNA,5,2024-10-03 09:09:11,Perangkat bintang anda.
323,Lukman Hakim,5,2024-10-03 01:18:58,Oke deh
324,Nur Madijaya,1,2024-10-02 21:02:32,Ajay Da Costa
325,Tania da costa Tania ximenes,1,2024-10-02 04:06:00,Thanya
326,Lilik Siswanto,4,2024-10-01 23:32:08,Bagus tp banyak informasi hoax
327,Edit Kreator,1,2024-10-01 18:01:27,"Aplikasi gk ada gunanya,bikin HP lemot dan cpt rusak HP nya,jgn didownload, donlod yg lite aja yg versi ini bikin hp ngebleng"
328,DEWI FORTUNA,2,2024-10-01 11:59:06,Di negara OMAN g bisa di buka tiktok y
329,Noki Tilman,5,2024-10-01 08:24:24,aku suka
330,25Mariano Ribeiro,5,2024-10-01 07:58:27,Matap
331,Nata Ndud,5,2024-09-30 23:34:37,Mantap
332,Khalil Khalil,4,2024-09-30 19:22:31,ا.طالي
333,Tilman Silva,5,2024-09-30 15:16:06,aplikasi ini bagus
334,Tesha Febrini,2,2024-09-30 09:27:52,"Mohon jangan di hapus draf kami, jika kami uninstal dan di instal lagi"
335,Vacu Malay,5,2024-09-29 22:28:58,Adinu Rema077
336,Reno Reno,5,2024-09-29 17:19:31,Bagus
337,Safa Afiya,3,2024-09-29 15:05:46,kenapa kalo simpan foto harus ada watermark nya sih
338,Nanchyo Lopes,5,2024-09-29 14:13:39,Bagus
339,teuku elfian,5,2024-09-29 12:32:01,Penggunaan mudah mantabs
340,this kia,1,2024-09-29 12:15:28,"aplikasi yang sangat buruk, tidak ada api padahal sudah chattan selama lebih 3 hari."
341,Eliana Putriani,5,2024-09-29 11:47:38,Bagu Alhamdulillah lancar
342,Adriano Fernandes,5,2024-09-29 06:53:29,5 🫡
343,Ziva Mali,5,2024-09-29 06:11:51,Sangat baguss
344,Wahyu Firdiyansyah,1,2024-09-29 05:16:07,Aplikasi super duper lemott. Ram sering penuh sendiri .padahal sisa ram 3 gb lebih tapi waktu buka tiktok ram langsung habiss tinggal 200 mb
345,Nelia Maria,3,2024-09-29 05:13:29,Alina
346,Hercia Costa,2,2024-09-28 13:22:51,Bgsa
347,Puti Fathia hanoon,2,2024-09-28 13:11:17,api aku ngga nyala padahal udah 3 hari chatan
348,Mustofa Tofa,5,2024-09-28 03:28:33,Ok
349,Elia Goncalves,5,2024-09-27 20:16:53,Elia gon
350,Tuti bt Wihadi cakra,1,2024-09-27 10:45:31,Aku Mau account pertamaku kembali
351,Andi Esty,5,2024-09-27 08:14:49,bagus
352,Yanti Nabila,5,2024-09-26 21:54:12,Terhibur
353,yusran Nur,5,2024-09-26 20:39:46,bagus sekali
354,Wai Wainem,5,2024-09-26 16:40:56,Sangat bagus
355,Eko Prio Prasetyo,5,2024-09-26 14:00:07,Ok
356,linda rafa,1,2024-09-26 10:08:36,Sangat buruk udah di perbaharui satu minggu mental lagi 🤬🤬
357,Adida Costa,5,2024-09-26 09:34:05,Bagus
358,Dihya Muhammad,5,2024-09-26 08:20:48,Bagus
359,Suhendar Hendar,5,2024-09-26 00:12:44,Mantap
360,Klenio Leong,5,2024-09-25 21:55:12,Tiktok ini itu bagus sekali karna orangsemua bisa dapat premium tiktok🤩
361,Rytwo Rodrigues,5,2024-09-25 19:49:47,Sangat bagus dan nyaman dalam bermain media sosial yang satu ini. Puas banget..
362,Pengguna Google,3,2024-09-25 17:52:54,"Makin jelek fitur ""hapus semua"" di riwayat tontonan/apapun itu ga ada? Capekk min ngapus satu satu"
363,Khanza Salsabela,5,2024-09-25 12:32:04,Wow sumpah bagus bgtttt suka bangetttt😍😍😍😍😍
364,Rania Bawel,5,2024-09-25 11:01:45,Kenapa tidak bisa to up lewat allikssi
365,Fajar Surya,5,2024-09-24 23:08:40,👍
366,Ghina Nurzahra,1,2024-09-24 20:44:07,"ga bisa login kocak,serverlu stres"
367,Ason Zhya,4,2024-09-24 12:37:49,Aplikasi ini sangat bagus sekali.
368,Ernakusumawati Basuki,5,2024-09-23 17:15:40,Bagus banget
369,Syahrul Alam,4,2024-09-23 14:21:26,Alwi 3B
370,Mario Jida,5,2024-09-22 22:14:14,Baik
371,Maria Imaculada,5,2024-09-22 09:18:00,Sangat bagus terima kasih
372,Ma Ti,5,2024-09-22 08:10:30,Ok
373,Any Dahlanpune,5,2024-09-22 03:08:34,Kerennya
374,Irfan Yusuf,5,2024-09-21 21:25:50,Aplikasi ini sangat berguna 👍
375,Novia Barreto Ferreira,5,2024-09-21 14:22:05,Aplikasi nya bagus banget saya sangat suka👍👍
376,Jacob Maria,5,2024-09-21 05:33:04,Aku suka suka
377,Faeyza Al Fathan,5,2024-09-21 01:24:31,The best
378,Rita Rita,5,2024-09-20 23:47:23,Aplikasi aku se hapus
379,M irwan maulana Irwan,5,2024-09-20 21:06:05,Bagus
380,yunus zakaria,5,2024-09-20 19:37:27,Oke bagus seru hiburan
381,Aisyah Awashi,4,2024-09-20 11:43:37,Good TikTok can make us happy and can increase our ties with many people 🫰
382,Dd Vf,5,2024-09-20 11:42:30,Sunmoon
383,Syakirana Aja,5,2024-09-19 18:06:19,Bermanfaat
384,গকুল বিশ্বাস,1,2024-09-19 17:38:20,গকুল নম
385,Ana Maria Xavier,5,2024-09-19 14:05:40,Tiktok seruh
386,Dany Mitako,1,2024-09-19 12:31:35,Sering error
387,Hariadi Firmansyah,5,2024-09-18 21:54:07,Oke
388,uman saja,3,2024-09-18 20:57:10,Gara gara ngelag hp langsung error meski buka batre baru normal ...untuk hp Ram 3 ..tiktok terasa berat APK nya
389,Ravi Arnan Irianto,1,2024-09-18 19:09:45,Buriq
390,Sri Lampir,1,2024-09-18 14:14:01,"Tiktok sekrng jelek kurang bagus udh ngk bisa di buka kalau di buka CMN logo tiktok yg kluar hitam trus,,,masa biar normal lagi harus apus aplikasi trus download ulang sih tolong di perbaiki aplikasi tiktokx"
391,Damiao Gerson Freitas,5,2024-09-18 11:02:29,🙏🏻
392,ELI SITI KHODIJAG,3,2024-09-18 02:17:48,"Tiktok bagus buat hiburan, tapi Tiktok saya sering GK bisa d buka d download lg "" sering kaya gtu ini dh kesekian x nya...gmn sich GK pernah anteng ?!"
393,Ipey 173 173,5,2024-09-17 23:45:46,Nice
394,Samot Pratama,4,2024-09-17 22:19:17,Sangat bagus sekali aplikasi ini
395,David New,5,2024-09-17 20:49:10,"Jos,,"
396,Sandi nya,5,2024-09-17 20:27:27,Ok
397,Muhamad Awalludin,5,2024-09-17 16:46:19,HADITS BUDI LUHUR PEGANGAN MENUJU TENTERAM
398,Indah Yani,5,2024-09-16 22:53:05,Sangat menguntungkan dan banyak temen
399,ferdy moco,4,2024-09-16 20:33:11,Bagus
400,Muhammad Sakdi,5,2024-09-16 13:04:10,Bisa
401,Jaimitu Caunan,3,2024-09-15 09:22:49,😍
402,Shyova Baptista,4,2024-09-15 05:59:07,Apk nx bagus sekali
403,Budi Santoso,4,2024-09-15 01:25:44,Bagus kita ikut mengetahui berita dr dalam negeri maupun manca negara.. Lanjutkan
404,Ruben Alves,5,2024-09-14 23:32:00,Ruben Q
405,Riska fika Ferry alma,4,2024-09-14 21:57:08,Ok
406,Sonia da Costa Alves,5,2024-09-14 18:19:21,Intinya aja deh
407,Aang Kurniawan,5,2024-09-14 16:09:16,Baik sekali
408,Endro Rustanto,5,2024-09-13 18:53:58,Good
409,fortune deniM,5,2024-09-13 18:22:40,"tiktok is The REAL best social media; ""👍🏼👍🏼NUMBERO UNO👍🏼👍🏼"" because now in my country ""no VIRAL no JUSTICE"""
410,Mou Geby,5,2024-09-13 10:11:07,Tik tok
411,Maria Cristelia,5,2024-09-13 09:46:49,Baik
412,Abi wira noer,5,2024-09-13 08:48:01,aplikasi yg sangat bagus
413,Feri Gaming tkd,5,2024-09-13 00:59:59,Keren
414,Ari Jatim,1,2024-09-12 22:23:30,Kenapa akhir² ini tiktok boros kuota
415,Baby Nita,1,2024-09-12 16:48:33,😻
416,Ferdy 028,1,2024-09-12 09:32:22,Favite gua
417,Waqas Wesly,5,2024-09-11 23:33:26,Bilalwesly
418,Innocent Zongo,5,2024-09-11 23:09:22,J'aime Tik tok. Merci beaucoup: 🙏
419,Julcyu Ximemes,1,2024-09-11 16:58:59,Yourg single
420,Hengki Zonk,5,2024-09-11 16:04:46,Good 👍👍👍
421,Deden Buuk,5,2024-09-11 10:54:58,Sangat membantu
422,Adeya Ato,5,2024-09-11 10:13:11,Dedy
423,Asri Yadi,3,2024-09-11 07:50:35,Masa depan tidak ada yg tau gak sih tawa sutra dahsyat inbox insert intens kiss klik koki kompas dan aku nmba 100 om om momod numpang nanya nih gan
424,Sheilla Azzahra,1,2024-09-11 03:00:04,Tidak baik
425,sito senapdragon,1,2024-09-11 02:20:01,tiktok k*nt*l bikin orang enek ngabisin kuota doank t@i..!!!
426,Syamsuri Ikram,5,2024-09-11 00:01:57,OK banget
427,Ust Abrar Jusmer,1,2024-09-10 22:44:21,Aplikasi tolol ga bisa mempertimbangkan mana yang melanggar panduan mana yang nggak
428,Filipus Nainggolan,5,2024-09-10 20:57:16,FILIPUS HOTTUA EM NAINGGOLAN
429,Muhammad Jamil,1,2024-09-10 18:26:39,TurLock
430,Ihsan Tohir (Mohamad ali),5,2024-09-10 17:25:54,Hiburan mendukung
431,Leey Chi,5,2024-09-10 15:35:06,Kenapa saya tidak bisa follback orang yang mengikuti ku ? Dan kenapa saya tidak bisa posting video? Tolong dijawab
432,Daniela Fatima,5,2024-09-10 15:21:35,ap nya baik..I will best know how much you want you..👊😻😻
433,Obet Babo,5,2024-09-10 09:06:12,Great Application
434,Balentina Pereira,5,2024-09-09 20:58:52,Sangat sangat bagus saya suka saya suka 😍
435,ARsyla Syafika,1,2024-09-09 20:08:35,Dikit dikit pelanggaran. Tiktok se alay itukah
436,Tina Winners,5,2024-09-09 19:31:41,Keren tiktok sop luar biasa bagus
437,Ahmad Safei,5,2024-09-09 19:28:54,Bagus
438,Fajrin Putra Abaidata,1,2024-09-09 19:25:52,"Tiktok anj, napa dah tiap gw buka tiktok pasti eror atau ngedlay gitu, persaan penyimpanan gw besar jaringan gw bagus tapi napa tiap gw buka tiktok selalu delay bgst. Tiap gw baru buka tt beberapa menit kayak 30menit gitu pasti tr gw udah delay & sampah chace gw banyak amat padahal cuma buka beberapa menit gk smpe 15 menit sampah chace nya udah 2.4 gb aja"
439,alief Abbat,1,2024-09-09 17:31:12,Error 🤧 saya tidak bisa melihat orang level tinggi terbang
440,Efiana Ataide,5,2024-09-09 15:54:23,Bagus sekali ♥️
441,Omasih Atrimi,5,2024-09-09 12:11:21,Bages tapi kenapa sering nutup g bisa di bugga sering aku donlat lagih
442,Anah Anah ajah,1,2024-09-08 23:00:20,Coba dulu
443,Crismansia Maluhira,5,2024-09-08 12:05:13,Keren😍
444,Tompaso Gaming,5,2024-09-08 07:44:37,Sumpah ini keren banget apalagi kalau bosan tingal main tiktok biarpun dia pakek kouta tapi tetap seruu. Dan kita juga bisa bikin akun dan kita bisa dapat temen baru di tiktok juga bisa kirim-kirim pesan😆lima bintang si iniii😉🥳🥳😻😻⭐⭐⭐⭐⭐
445,Ece Sahar,5,2024-09-08 01:24:05,Knp sllu diperbaharui
446,Achmada Achmada,5,2024-09-07 19:43:10,Ok
447,Ali Rifai,5,2024-09-07 17:08:00,Sangat keren
448,Nurul Sakinah,5,2024-09-07 16:48:55,Bagus
449,Mutia Hauranisa,5,2024-09-07 07:13:50,The best
450,Nabila Naina,5,2024-09-07 03:40:52,nice
451,rian kholil,5,2024-09-06 23:31:40,Bagus sekali
452,zaenal Bandung 1995,5,2024-09-06 20:38:21,Bagus
453,Ka Jaed,5,2024-09-06 17:01:37,Good👍
454,Lbh Chk,5,2024-09-06 09:55:55,Phbln Kg go kn
455,Radja Akmaloe,1,2024-09-06 09:05:25,"Aplikasi gk berguna,bikin hp lemot dan hp saya jd rusak,gara2 install Tik tok, affiliate jg susah, video dg suara bener2 dr suaranya tik tok ktnya melanggar, hadeeehh capek dehh,buat apa lu nyediain suara tp gk bs digunakan,bikin lemot penyimpanan nya nyampe 7giga, gila' ni aplikasi"
456,Sahara Bayu,2,2024-09-06 02:22:05,Asalam mulaikum knp yg setiaap mau pembaruaan apps ga bisa di dwonload mohon bantuaan kepada pengguan android maaf🙏 masi pemulaa
457,Salvador Belo,5,2024-09-05 23:37:08,Aplikasi palin baik
458,Mah Ro,5,2024-09-05 23:11:11,Terimakasih saya sangat senang dengan tiktok
459,Budi frananda,5,2024-09-05 10:58:20,Bagus
460,Awal Waktu,5,2024-09-05 06:13:18,Siip
461,Edivaldo Costa,5,2024-09-05 06:09:40,Terbaik
462,rio yunior,2,2024-09-05 02:48:00,"kenapa bug truss, tiap kali mau buka aplikasinya kadang bisa kadang gabisa di buka eror trus, perasaan kemaren ga begini nih tiktok. tolong segera atasii please."
463,Taryani Taryani,5,2024-09-04 18:24:14,Disfuta
464,Titin Prihatin,4,2024-09-04 18:20:19,Kenapa efek berkurang dan buay stikernya hilang
465,Pedro Carceres soares,5,2024-09-04 07:38:07,I'm very happy to use
466,Jelita Ximenes,1,2024-09-03 22:20:06,Paul ktl
467,Anton Kristanton,5,2024-09-03 18:04:47,Sangat bagus tapi sayang menginstalnya sangat lamama
468,Fijanil Araujo,1,2024-09-03 14:49:02,Kenapa aku kasih bintang 1 karena video ku tidak bisa fyp
469,engracia Vieira,5,2024-09-02 22:04:23,Aplikasi
470,Nolasco Guterres,4,2024-09-02 18:50:51,"Coba,,,,!!!!!"
471,Liuray Fi,4,2024-09-02 10:43:27,Tik tok
472,Wastini Ajid,5,2024-09-02 03:14:20,Bagus sekali
473,Dilara Da silva,5,2024-09-01 18:38:26,Love this apk
474,Aluchy Soares,5,2024-09-01 08:10:11,aplikasi ini bagus banget 🥰
475,Sandy Theflay,5,2024-09-01 07:57:49,Bagus banget sngt mmbntu sekali
476,Salman Alfarisi277,5,2024-09-01 00:03:19,Menarik
477,Aludin Songge,4,2024-08-31 22:03:06,Baik
478,Lilik Handayani,4,2024-08-31 13:55:09,Sekrang nggk bisa post ulang trs nggk bisa di gedein biar ilang semua tulisannya tiktok apdate yg kyk dulu lagi dong
479,Ildeberto Costa,3,2024-08-31 13:04:28,Baik
480,Nurhasanah Menah,5,2024-08-31 03:42:05,Semoga tambah bagus
481,Edyana Costa,5,2024-08-30 21:41:32,Suka
482,Realme 10Pangkalanbun,5,2024-08-30 18:56:57,Mantap
483,Genov Dejeres,5,2024-08-30 17:50:42,Tiktok itu akan menyenankan kalo akun kita fyp
484,Muhammad Irza Maulana,1,2024-08-30 12:25:18,"Gak ngapa2in, malah kenak blokir account saya. Tiktok aneh"
485,Jejen Mutakin,4,2024-08-29 19:38:18,mntap
486,Suwarto Arto,5,2024-08-29 19:01:54,Sangat menyenakan...🥰🥰🤩😍
487,Asety Raikotuk,1,2024-08-29 12:09:01,Apk ini asli
488,Isabel da silva Marques,5,2024-08-29 07:27:49,Sya suka dengan apk ini sangat sangat bagus bisa menghibur saya
489,Firmansyah Hamdan,5,2024-08-29 00:10:38,Usefull
490,Daday Daday,1,2024-08-28 22:02:27,Msntap
491,H' TOHA,4,2024-08-28 21:58:10,Sangat terhhibur
492,ASHLEY PRODUCTION,5,2024-08-28 09:21:21,Intine FYPPPPP
493,dizania barris,5,2024-08-27 17:47:07,Bagus banget 😍
494,Nelciana Cardoso Gusmao,5,2024-08-27 14:35:32,kenapa tiba-tiba saat saya foto penyimpanan nx udah hilang?
495,Francesco topik Hidayat,1,2024-08-27 08:20:22,Aku coba dulu bagus tambahan bintang
496,? Usa not pretentious,1,2024-08-27 08:04:58,Bug tiktok aplikasi
497,Masto Gomes46,5,2024-08-26 23:26:40,Aplikasi ini sangat berguna bagi aku
498,Ilmalia Septiyana,5,2024-08-26 16:59:25,Ok
499,zakiman hadi (ZACKY_TV),5,2024-08-26 15:15:11,Tik tok mantap
500,Putra Putraeka,1,2024-08-25 21:17:29,Jaringan lelet
501,Diva Blouds (Divajuweita86),5,2024-08-25 20:05:26,Buatmu❤️
502,Elijeu mendonca,5,2024-08-25 19:53:27,Elijeu Mendonça
503,Ayda Ayda,5,2024-08-25 18:08:05,Bagus cmn lemot d hp saya klw buka nya
504,Eva Gouveia Leite,5,2024-08-25 17:17:33,Menurut Aku Aplikasih nia sangat vagus
505,Poi Jak,1,2024-08-25 12:13:53,Kamales kerena lelen
506,RIZKIARJUNA ZULVI,5,2024-08-25 10:42:56,mantap
507,Celes Korea,5,2024-08-25 09:50:10,Mantap
508,AJZ Marques,5,2024-08-25 07:22:21,Saya suka banget
509,Dede dede Eded,3,2024-08-24 10:22:39,Terhibur
510,Septi Rizkianti,5,2024-08-24 09:35:16,Seru banget sumpah nonton nya
511,Dede halimah Salwa,5,2024-08-24 06:58:29,Bagus nonton vidio bisa dapat cuan
512,Rini Oktaviani,5,2024-08-23 21:36:49,Good
513,Ripal Asep234,5,2024-08-23 19:11:13,Ok
514,ina,5,2024-08-23 13:01:24,Aplicasi Nia bakus Dan juga bisa dolat video yan kita mau
515,Nasril Chaniago,5,2024-08-22 21:38:44,Keren
516,Maria Soares,4,2024-08-22 18:58:12,TiKToK Asoi
517,Nagita Wulandari,4,2024-08-21 13:59:23,Mantap keren pokoknya membantu banget...🙏🏼
518,Rita 123,5,2024-08-21 03:40:19,Sangat bagus
519,M Zubair,1,2024-08-21 00:14:11,he
520,Diki Wahyudi,3,2024-08-20 20:10:30,"aku sih disuruh download sama ayang, mangkanya ikutan download 🤪 awalnya paling anti si ama tiktok.. but gegara ayang mah apa si yg gk boleh azeeek 😁"
521,opikmbozo 82,5,2024-08-20 17:58:41,Aplikasi tiktok benar menghibur bangat 👍👍👍👍👍
522,Sk Sakil,5,2024-08-20 17:01:21,dhfu
523,Hareram Yadav,4,2024-08-20 15:45:34,HareramYadav
524,Ato Syakir,1,2024-08-20 00:32:05,Buruk
525,Ane Nuraini,5,2024-08-20 00:01:03,Sangat bagusss
526,Erik Falo,1,2024-08-19 17:22:29,Aplikasi sangat bagus
527,Okky Putra Utama,1,2024-08-19 09:20:05,"Sudah melakukan banding agar fitur terbuka tapi alasannya foto nya kurang jelas , padahal jelas jelas umur yang di masukan sudah memenuhi persyaratan . Banyak aturan tidak jelas ."
528,Surahman Man,5,2024-08-19 07:54:50,Sangat bagus
529,Martinha M.exposto,5,2024-08-19 06:24:03,Aplikasi Nia tiktok Nia sangat bagus Sekali saya kasi bintang 5 dek
530,haci vengeance,3,2024-08-18 19:03:10,"Kenapa tiktok semakin kesini semakin lemot, mau buka pusat afiliasi gak kebukabuka, loading mulu... Kuota mh kena kebuka engga, tolong dong di benerin"
531,Milenya Soares,1,2024-08-18 16:45:08,Bagus banget
532,aam amelia,5,2024-08-18 13:04:26,Keren
533,Lavatoza Amier Mangunraha,5,2024-08-18 07:48:04,Bagus sangat
534,Sabinho Assis,5,2024-08-18 04:05:27,Karena bikin Saia lebih semangat untuk bekerja
535,Zarra Boomz,5,2024-08-18 00:11:42,Bagus
536,Putra Angga,4,2024-08-17 23:09:12,Coba dulu
537,Martini Tini,1,2024-08-17 19:26:05,Lmbat
538,Arna Arna,5,2024-08-17 12:09:51,Coba di perbaiki
539,Lia Vanesa,5,2024-08-15 18:31:27,Sangat penting untuk mencapai cita-cita dan tujuan nasional dan internasional yang telah berpartisipasi seputar produk dan layanan Telkomsel silakan mention kembali apabila ada yang bisa dibantu
540,Delca Avarina,5,2024-08-15 18:14:06,"excuse me ,do u like u loveee me"
541,Khaning _,5,2024-08-15 11:12:02,Apaan akun baru login udah lag out sendiri ngak jelas... gimana aih ini aplikasinya ancr
542,Ehsanullah,5,2024-08-15 09:14:50,When TV hd web be web be
543,Rizki Fribadi,1,2024-08-14 22:34:32,"Komentar ga kasar"" banget kok dihapus, sensitif bngt anjeng"
544,Sindy Mulyani,5,2024-08-14 19:37:38,Sangat 💯
545,Fariz Maulna,5,2024-08-14 16:34:58,Pelepas tasa cape
546,Aisyah Aisyah,5,2024-08-14 14:15:25,Tolong buka tiktok aku
547,UNYIELL 669,5,2024-08-14 04:21:06,Mantap
548,Martinho Alves,5,2024-08-13 17:22:58,Good
549,Aderito Costa,5,2024-08-13 13:03:24,Even
550,Gimhy 211,5,2024-08-13 09:32:29,Ini benar benar bagus maka saya beri bintang 5
551,Syahidi Busiri,5,2024-08-13 07:27:40,Bagus cepat dan terhibur
552,Arsenio Arsel,1,2024-08-13 07:06:37,Kenapa saya tidak bisa masukin akun saya ke tik tok ini mohon di perbaiki lagi
553,Maria filomena Lopes,5,2024-08-12 18:57:54,Bagus sekali
554,Nevin Gomes,1,2024-08-12 14:45:45,Tiktok saya tidak bisa live 😔😔
555,Fernandito da Costa Neves,5,2024-08-12 13:34:27,"tik tok ini bagus tapi update"" terus bikin kita bosan juga wkwkwkwkwk😂😂"
556,Gilbert Paef,1,2024-08-11 14:48:01,apaan ni mo pos foto aja gak bisa jangan kasi batasan dong orang mau pos gak bisa 😡🤬🤬🤬🤬 aku gak mau tahu harus perbaiki akun gua gak bisa lagi buat aplot foto dan vidio 😡😡😡😡😡😡🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬
557,Alya shavirha,5,2024-08-11 11:26:45,Bgus
558,Aryanti Nurfi,5,2024-08-11 08:57:15,Tik tok seru banget
559,Abah Ocim,5,2024-08-11 08:24:09,Very good
560,Sebas Arauju,5,2024-08-10 12:56:19,🤍
561,Salman Ali,5,2024-08-10 12:11:28,Kahif
562,Clarita Da Costa,1,2024-08-10 05:32:30,Kenapa aplikasi lain ada fitur Sulap kok saya punya ini nggak ada sih... padahal dulu itu ada teruss hilang kenapa yah?
563,Soriano Freitas,5,2024-08-09 20:07:08,Bagus
564,Nelson Mandelof9,5,2024-08-09 18:50:01,Ok
565,BY: P.A.S,5,2024-08-09 16:45:52,Aku terhibur
566,Joaquina Pinto,5,2024-08-09 16:36:55,Bagus
567,Yohanes Dacosta,5,2024-08-09 06:39:50,👍
568,Fitri Sayang,1,2024-08-09 06:26:54,"Kenpa tiktok saya di blokir live permanen, sedangkan saya ga melanggar apapun, sudah 4 tahun tiktok saya ga bisa live"
569,lalan costa,5,2024-08-08 21:51:23,Good
570,Adryel Dossantos,5,2024-08-08 20:54:20,Aplkasi sangat membantu belajar Meng hibur dang menhilakan bosang
571,Nana Watson,1,2024-08-08 14:45:18,Updated mulu😪😪😤😤
572,Selvia Febrianty13,5,2024-08-08 13:15:51,Bagus bngt
573,Deva Sri mardiana,5,2024-08-08 13:06:58,Kenapa tiktok kami slalu cepat rusak
574,Eva Lopes,5,2024-08-07 18:44:03,Sangat berguna
575,Fatma Mesquita,1,2024-08-07 18:34:13,Ini itu selalu keluar iklan pazel
576,Yanti one,5,2024-08-07 18:16:37,Eror
577,Nurllela Amir,5,2024-08-07 10:18:47,Okey
578,Muhamad Arfan,5,2024-08-07 03:35:48,Awesome an application ever
579,LOAFER JANE JAN,5,2024-08-07 02:31:45,F i z h s
580,Dias Sanjaya,5,2024-08-06 23:11:07,Jos
581,Ilham Gembi,5,2024-08-06 21:28:47,Aplikasi bagus
582,Aaaa Bbbb,1,2024-08-06 16:24:20,"saya kena pelanggaran dibawah umur 16 tahun, padahal saya sudah kirim permohonan banding... sudah kirim ktp dan selfie katanya suruh nunggu 24 jam tapi mana hasilnya?? udah 3 hari ga ada hasill.... tolong dong dibenerin."
583,Marcio Belo,5,2024-08-06 15:00:55,Keren
584,Hendi Rahmam,5,2024-08-06 05:14:27,Seabad nginstal di hp j2 prime🤣🤣🤣
585,Amenh,5,2024-08-05 17:30:42,اووو
586,Novelio Lopesdacruz,5,2024-08-05 11:27:31,Bagus
587,Luciano Nizen,5,2024-08-05 06:52:21,Tetap tambakan imajinasi Nia 💯
588,Jose Reinaldo Martins,4,2024-08-05 04:51:09,Thanks tiktok
589,Eep Kukukk,3,2024-08-05 01:12:30,Kenapa ga bisa login
590,Valentinho Miranda,5,2024-08-04 23:02:15,Sangat baik
591,Alda Dolores,5,2024-08-04 15:09:44,Aplikasi ini bagus banget saya suka
592,Carolina Hornay,1,2024-08-04 08:02:25,Akun saya terblokir sudah dua kali . akun pertama likenya sudah banyak pengikutnya juga sudah banyak sudah cape2 ngumpulin like sebanyak itu malah akunya ke blokir.akun ke dua aku juga padala daftarnya belum 2 bulan.homon perbaiki dan lebih baik pulihkan akun aku.akun pertama=larigata_girl Akun ke dua=veee_xiiiaaaa07.
593,Dina Yulianti,1,2024-08-03 22:56:52,Makin kesini makin kacau Dikit² pelanggaran padhal cuma video biasa
594,Ajianti Freitas belo,5,2024-08-03 20:15:48,Sangat bagus
595,Margarida Febriana ribeiro,5,2024-08-03 10:10:45,Bagus sekali😭
596,Malku Melki,5,2024-08-02 18:58:43,B aj
597,Racel seluler,5,2024-08-01 20:35:24,Oke
598,Abdul Madji,2,2024-08-01 12:28:09,Knp pas lagi nonton tiktok tiba tiba tida ada koneksi internet padahal ada tolong di perbaiki🙏🏾
599,Defita Filipe,1,2024-08-01 11:27:21,DefitaFilipe
600,Ainur Rofikin,5,2024-08-01 10:07:00,Good
601,Marlinda Goncalves,5,2024-08-01 10:06:25,Ga bagus
602,Siti Rahmawati jaidun,5,2024-08-01 01:40:50,Good👍
603,Hariyanto Ibnu,5,2024-07-31 20:16:54,suke
604,Rizki 1108,1,2024-07-31 16:48:45,Aku ingin aplikasi ini menampilkan semua video kecuali saru-saru ada yang menikah lah tolong ya dan menampilkan sinetron
605,ciyo anak yanto,1,2024-07-31 16:23:55,susah bgt fyp
606,Soares Naikerek,4,2024-07-31 09:24:56,Kenapa video dsn fotoyang saya post tidak fyp
607,Quenza Campos,5,2024-07-31 06:14:41,Tik tok sangat bagus !
608,Rini Suryani,5,2024-07-31 04:35:16,Bagus sekali
609,Ayu Yuni,2,2024-07-31 03:37:09,Beri bintang 2 dlu karna pas nonton live selalu putus
610,Sre O,4,2024-07-31 01:30:38,"sekarang tiktok gak bisa simpan Poto ke galeri,,yg ada cuma bisa simpan ke draf doang ga kaya dulu"
611,Mandala Putra,5,2024-07-30 22:28:26,Slalu ke depan
